Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,Common.Name,Species.Code,Confidence,Begin.Path,File.Offset..s.,deployment_ID,Location,Site,config,datetime_UTC,datetime_local,latitude,longitude
32822,Spectrogram 1,1,405320,405323,0,15000,Ridgway's Rail,ridrai1,0.4569,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233500.WAV,3,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:35:00Z,2025-05-20T23:35:00Z,32.6396792,-117.1111495
32824,Spectrogram 1,1,405326,405329,0,15000,Ridgway's Rail,ridrai1,0.8565,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233500.WAV,9,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:35:00Z,2025-05-20T23:35:00Z,32.6396792,-117.1111495
32832,Spectrogram 1,1,405390,405393,0,15000,Ridgway's Rail,ridrai1,0.2943,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233600.WAV,18,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:36:00Z,2025-05-20T23:36:00Z,32.6396792,-117.1111495
32836,Spectrogram 1,1,405417,405420,0,15000,Ridgway's Rail,ridrai1,0.3473,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233600.WAV,45,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:36:00Z,2025-05-20T23:36:00Z,32.6396792,-117.1111495
32838,Spectrogram 1,1,405423,405426,0,15000,Ridgway's Rail,ridrai1,0.5292,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233600.WAV,51,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:36:00Z,2025-05-20T23:36:00Z,32.6396792,-117.1111495
32840,Spectrogram 1,1,405427,405430,0,15000,Ridgway's Rail,ridrai1,0.9097,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233700.WAV,0,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:37:00Z,2025-05-20T23:37:00Z,32.6396792,-117.1111495
32844,Spectrogram 1,1,405454,405457,0,15000,Ridgway's Rail,ridrai1,0.2902,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233700.WAV,27,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:37:00Z,2025-05-20T23:37:00Z,32.6396792,-117.1111495
32846,Spectrogram 1,1,405463,405466,0,15000,Ridgway's Rail,ridrai1,0.435,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233700.WAV,36,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:37:00Z,2025-05-20T23:37:00Z,32.6396792,-117.1111495
32854,Spectrogram 1,1,405527,405530,0,15000,Ridgway's Rail,ridrai1,0.483,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233801.WAV,45,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:38:01Z,2025-05-20T23:38:01Z,32.6396792,-117.1111495
32856,Spectrogram 1,1,405533,405536,0,15000,Ridgway's Rail,ridrai1,0.8366,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233801.WAV,51,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:38:01Z,2025-05-20T23:38:01Z,32.6396792,-117.1111495
32858,Spectrogram 1,1,405545,405548,0,15000,Ridgway's Rail,ridrai1,0.7431,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233905.WAV,9,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:39:05Z,2025-05-20T23:39:05Z,32.6396792,-117.1111495
32860,Spectrogram 1,1,405551,405554,0,15000,Ridgway's Rail,ridrai1,0.5683,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233905.WAV,15,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:39:05Z,2025-05-20T23:39:05Z,32.6396792,-117.1111495
